,sigmax,sigmay,sigmaxy
0,-123380.70577130489,-44870.18453743911,-56619.294228691804
1,-22903.698342502783,-18990.869613966952,-18712.397523009528
2,-3695.507520992805,-2133.7669142258733,-1643.5587347042854
3,-1428.1008593039771,-9750.099384854526,-3248.236477386235
4,-12014.705396224514,-8652.25772661522,-8488.997575468647
5,-6074.559362438627,-10911.714010638188,-9593.204500397527
6,-21121.644605701276,-11862.65466676093,-9786.51008501168
7,-7254.885024790812,-16371.276929417903,-12593.951280487729
8,40.969359724481286,40.96935972485399,40.969359724650694
9,-575.0771605277868,-467.38661887940407,378.2901093816424
10,-8599.314557067719,-7798.410016826021,-12524.413840523815
11,-14784.010091835062,-6122.253393107352,-11171.852167209207
12,-1873.211140878314,-16636.996163095322,-5081.173106259668
13,-1055.454699534514,-13875.917450182711,-6154.823652536598
14,-1281.4975551213151,-13932.42816407941,-12698.937990163202
15,-3434.728943740027,-8355.043791766671,-11671.692095054996
16,-13514.814260944175,-415.28745250871316,-10282.299049076108
17,-10749.36202604715,-2214.2151819682554,-9992.341697444897
18,-6272.9055304556205,-9064.58793844557,-14295.352097407293
19,-5878.442338900682,-4780.844354945887,-15698.81412992365
20,-11156.218581153702,-3841.641402394462,-13205.07873640703
21,-8912.11948759573,-2592.2800886239443,-14253.116858605563
22,-7295.699968420428,-2876.511749211144,-12107.561595210305
23,-5493.131027797893,-5945.48992781466,-12487.484366604616
24,-2917.526139528017,-20476.54250170622,-12924.980845749924
25,-1752.5025855239073,-11349.099709083239,-16012.720749738044
26,-2096.310686702669,-29172.686323754584,-8828.111089735276
27,-2691.483283941216,-20420.03178780952,-6380.866508123333
28,35795.00613174953,-144204.99386825052,-35795.00613174947
29,-9040.22530556607,-16908.36370973339,-11056.586515388988
30,40219.605760622,-4927.737032811205,-5883.027401935488
31,6578.769453049061,-13003.615020079606,6631.986886516929
32,-551.1452436667394,225.9338204619534,-219.35857109287264
33,3.900695692603904,-4022.0931648682026,888.5357426983722
34,-772.3363587159678,-658.8306397349604,1104.1230312898351
35,-995.2167116214387,-207.95335923825937,1172.5221095672043
36,-8710.73205171234,-1786.7303450903903,-15392.790655669352
37,-5956.584306808953,-4800.379846922955,-15470.641182748075
38,-4045.6374010745935,-11922.383412970994,-17455.14118908234
39,-5821.39910210686,-4552.671407770595,-15776.956097831948
40,-5899.54107001513,-4572.206899747663,-15548.783150656353
41,-4764.8699591739505,-1761.7284111391423,-16732.328030491288
42,-13691.27511190928,-1121.1308563691327,-4231.98297395393
43,-14336.912734731673,2.4908853637070933,-4088.587738280779
44,-10051.793284659476,-2877.1985378898808,-13447.567115071954
45,-14220.358713870102,-1658.8782695495233,-14332.640663333077
46,-9850.405848776087,-2071.648794356327,-14587.240912135738
47,-6639.873096453969,-2157.2789025559287,-15524.711705372461
48,-5702.090823452123,-1922.833334305467,-12040.773672560781
